"Condition","Environment","effect_type","N","HUMAN_EFFECT","HUMAN_SD","HUMAN_SE","Target_Target","Target_Baseline","Control_Target","Control_Baseline","TARGET_CONTRAST","CONTROL_CONTRAST","DID"
"Scalar Implicature","Positive","difference_in_differences",99,139.582491582492,64.2241035176065,6.45476526863167,82.5959595959596,17.8047138047138,15.8451178451178,90.6363636363636,64.7912457912458,-74.7912457912458,139.582491582492
"Scalar Implicature","Negative","difference_in_differences",99,50.6936026936027,55.5352368533079,5.58150131169515,67.7037037037037,36.6430976430976,37.8552188552189,57.4882154882155,31.0606060606061,-19.6329966329966,50.6936026936027
"Presupposition","Question","target_minus_baseline",99,26.7979797979798,56.1448527086238,5.64277001043255,64.4393939393939,37.6414141414141,NA,NA,26.7979797979798,NA,NA
"Presupposition","None","target_minus_baseline",99,51.0909090909091,46.376969325938,4.66106079296843,73.5555555555556,22.4646464646465,NA,NA,51.0909090909091,NA,NA
"Supplement","Unembedded","difference_in_differences",99,9.02525252525253,47.1191159774545,4.73564933789263,80.1969696969697,28.4090909090909,76.6868686868687,33.9242424242424,51.7878787878788,42.7626262626263,9.02525252525253
"Homogeneity","Positive","target_minus_baseline",99,26.2828282828283,36.2792571318879,3.64620253270598,66.4393939393939,40.1565656565657,NA,NA,26.2828282828283,NA,NA
"Homogeneity","Negative","target_minus_baseline",99,46.1010101010101,39.0054927972592,3.92019952640663,71.5151515151515,25.4141414141414,NA,NA,46.1010101010101,NA,NA
